n,tp,fp,tn,fn,precision,recall,f1,accuracy,dataset,detector,transform,flip_rate
5000,256,4576,167,1,0.052980132450331126,0.9961089494163424,0.10060915700530555,0.0846,diversevul,regvd_structural_local,comment_banner,0.0392
5000,256,4562,181,1,0.053134080531340805,0.9961089494163424,0.10088669950738917,0.0874,diversevul,regvd_structural_local,control_flow_rewrite,0.0
5000,257,4732,11,0,0.05151332932451393,1.0,0.09797941288600838,0.0536,diversevul,regvd_structural_local,dead_branch_after_opening_brace,0.0358
5000,257,4557,186,0,0.05338595762359784,1.0,0.10136067836718596,0.0886,diversevul,regvd_structural_local,identifier_renaming,0.008
5000,257,4731,12,0,0.051523656776263034,1.0,0.09799809342230695,0.0538,diversevul,regvd_structural_local,safe_dead_code_carrier,0.0372
5000,232,3889,854,25,0.056297015287551565,0.9027237354085603,0.10598446779351302,0.2172,diversevul,vulberta_devign_local,blank_line_expansion,0.0
5000,232,3889,854,25,0.056297015287551565,0.9027237354085603,0.10598446779351302,0.2172,diversevul,vulberta_devign_local,brace_line_shift,0.0
5000,233,3962,781,24,0.055542312276519665,0.9066147859922179,0.10467205750224617,0.2028,diversevul,vulberta_devign_local,code_normalization_abstraction,0.0156
5000,232,3889,854,25,0.056297015287551565,0.9027237354085603,0.10598446779351302,0.2172,diversevul,vulberta_devign_local,comment_banner,0.0
5000,232,3889,854,25,0.056297015287551565,0.9027237354085603,0.10598446779351302,0.2172,diversevul,vulberta_devign_local,control_flow_rewrite,0.0
5000,234,4187,556,23,0.05292920153811355,0.9105058365758755,0.10004275331338179,0.158,diversevul,vulberta_devign_local,dead_branch_after_opening_brace,0.06
5000,221,3640,1103,36,0.05723905723905724,0.8599221789883269,0.10733365711510442,0.2648,diversevul,vulberta_devign_local,identifier_renaming,0.0584
5000,236,4288,455,21,0.052166224580017684,0.9182879377431906,0.09872411629366241,0.1382,diversevul,vulberta_devign_local,safe_dead_code_carrier,0.0806
