detector,base_id,transform,cwe,score_margin,vdcp_success,score_tie,decision_success
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,brace_line_shift,CWE-20,-0.09711860120296478,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,code_normalization_abstraction,CWE-20,-0.09711860120296478,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,comment_banner,CWE-20,0.009239375591278076,1.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,control_flow_rewrite,CWE-20,-0.09711860120296478,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,dead_branch_after_opening_brace,CWE-20,0.0019477605819702148,1.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,identifier_renaming,CWE-20,-0.04332830011844635,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,original,CWE-20,-0.09711852669715881,0.0,0.0,0.0
VulBERTa-public,bigvul-363b02dab09b3226f3bd1420dad9c72b79a42a76-820,safe_dead_code_carrier,CWE-20,-0.03701597452163696,0.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,blank_line_expansion,CWE-20,0.0020284131169319153,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,brace_line_shift,CWE-20,0.0020284131169319153,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,code_normalization_abstraction,CWE-20,0.0020284131169319153,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,comment_banner,CWE-20,0.0019983723759651184,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,control_flow_rewrite,CWE-20,0.0020284131169319153,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,dead_branch_after_opening_brace,CWE-20,0.0022030845284461975,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,identifier_renaming,CWE-20,0.0020284131169319153,1.0,0.0,0.0
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,original,CWE-20,0.0020284131169319153,1.0,0.0,0.0
